Date,Price,Open,High,Low,Change %
01-05-2022,2.74,2.928,3.203,2.722,-6.73%
01-04-2022,2.938,2.352,2.981,2.352,25.26%
01-03-2022,2.345,1.84,2.557,1.668,28.74%
01-02-2022,1.822,1.787,2.065,1.739,2.12%
01-01-2022,1.784,1.531,1.902,1.529,17.99%
01-12-2021,1.512,1.477,1.56,1.335,3.82%
01-11-2021,1.456,1.575,1.693,1.412,-6.71%
01-10-2021,1.561,1.501,1.705,1.453,4.58%
01-09-2021,1.492,1.317,1.567,1.26,14.18%
01-08-2021,1.307,1.237,1.379,1.127,6.65%
01-07-2021,1.226,1.47,1.485,1.128,-16.51%
01-06-2021,1.468,1.608,1.639,1.354,-7.13%
01-05-2021,1.581,1.631,1.707,1.469,-2.78%
01-04-2021,1.626,1.737,1.753,1.528,-6.77%
01-03-2021,1.744,1.395,1.776,1.383,23.99%
01-02-2021,1.407,1.071,1.614,1.06,31.38%
01-01-2021,1.071,0.93,1.187,0.906,16.81%
01-12-2020,0.916,0.847,0.986,0.834,8.82%
01-11-2020,0.842,0.855,0.975,0.718,-3.61%
01-10-2020,0.874,0.689,0.877,0.653,27.42%
01-09-2020,0.686,0.713,0.731,0.604,-2.93%
01-08-2020,0.706,0.535,0.789,0.504,32.51%
01-07-2020,0.533,0.658,0.724,0.52,-18.94%
01-06-2020,0.658,0.64,0.959,0.618,0.78%
01-05-2020,0.653,0.63,0.745,0.59,1.08%
01-04-2020,0.646,0.663,0.785,0.543,-3.34%
01-03-2020,0.668,1.105,1.283,0.318,-42.59%
01-02-2020,1.163,1.514,1.684,1.116,-22.71%
01-01-2020,1.505,1.919,1.946,1.503,-21.58%
01-12-2019,1.919,1.796,1.952,1.693,8.18%
01-11-2019,1.774,1.689,1.973,1.67,5.13%
01-10-2019,1.688,1.67,1.86,1.505,1.17%
01-09-2019,1.668,1.508,1.908,1.429,11.24%
01-08-2019,1.499,2.025,2.061,1.443,-25.31%
01-07-2019,2.007,2.045,2.15,1.939,0.03%
01-06-2019,2.007,2.126,2.178,1.974,-5.93%
01-05-2019,2.133,2.509,2.578,2.126,-14.79%
01-04-2019,2.504,2.43,2.614,2.424,4.02%
01-03-2019,2.407,2.719,2.768,2.34,-11.41%
01-02-2019,2.717,2.645,2.74,2.624,3.19%
01-01-2019,2.633,2.686,2.799,2.543,-1.98%
01-12-2018,2.686,3.037,3.05,2.679,-10.27%
